データ日付,終値,始値,高値,安値
"2021/05/17","27824.83","28310.46","28312.78","27632.53"
"2021/05/18","28406.84","27931.57","28481.17","27931.57"
"2021/05/19","28044.45","28031.22","28216.65","27842.98"
"2021/05/20","28098.25","27875.50","28176.87","27821.96"
"2021/05/21","28317.83","28269.61","28411.56","28193.03"
"2021/05/24","28364.61","28212.32","28584.18","28212.32"
"2021/05/25","28553.98","28516.99","28576.97","28443.74"
"2021/05/26","28642.19","28396.62","28710.83","28396.62"
"2021/05/27","28549.01","28543.32","28587.21","28360.56"
"2021/05/28","29149.41","28912.54","29194.11","28899.66"
"2021/05/31","28860.08","29019.45","29147.71","28791.60"
